id,boolkingid,timestamp,lat,lon,location
66768,b02e32ec5e21150e6323be4b08e66f1565baafbaebcf423713248ea614f18606,01-08-19 18:35,13.725404,100.546234,5383.312628
66771,b02e32ec5e21150e6323be4b08e66f1565baafbaebcf423713248ea614f18606,01-08-19 18:37,13.725646,100.545618,5455.140042
66774,b02e32ec5e21150e6323be4b08e66f1565baafbaebcf423713248ea614f18606,01-08-19 18:38,13.725844,100.545181,5507.231068
66780,554d72f1cb899c9a8dd730e2e04f0ed8828c0c5085b4c26f4d41d7d833ba3afe,01-08-19 10:43,13.724672,100.548031,5172.712965
66845,4eb532e88d2c6941765c222062df5ae6017e60fddcae526d2c291937a54d742a,01-08-19 14:56,13.724777,100.547779,5202.3407
66846,4eb532e88d2c6941765c222062df5ae6017e60fddcae526d2c291937a54d742a,01-08-19 14:56,13.724813,100.547693,5212.458454
66847,4eb532e88d2c6941765c222062df5ae6017e60fddcae526d2c291937a54d742a,01-08-19 14:57,13.724934,100.547404,5246.460804
66872,0d42fa852ca33cb9072f021401cdfbd23089c4cddd55c474fe928f97ff9b915f,01-08-19 18:59,13.725696,100.545507,5468.356966
66898,9fca51ade2f74876ba1dfad8879d6872328caefe856d4ea4791bcee7c7db1ba4,01-08-19 16:55,13.725029,100.547176,5273.266493
66919,21285b9380557591a6d652eb81c677e7d3cc10e99b47960ed1bdf7688912861a,01-08-19 9:47,13.723897,100.549899,4953.237471
66961,5b96f781ffabdb9f6119e97f35ba692a582777e810dea1ab574d9f8625a1ba2b,01-08-19 22:32,13.728329,100.539276,6202.718547
66966,5b96f781ffabdb9f6119e97f35ba692a582777e810dea1ab574d9f8625a1ba2b,01-08-19 22:34,13.728788,100.538179,6331.772597
66996,89051c7b20cdad6d36a132e0b11a9203c2f0f06ed1e054d800c927b060caf469,01-08-19 10:26,13.725922,100.545013,5527.345249
67002,487bc596e53b60690577bb71c1542869fc73a192f8eabc50be342679c3f03eff,01-08-19 21:31,13.725657,100.545593,5458.104841
67034,dd71af22098e74e73a219f6483ed2b3488d838ca41ffe92987f0d6f7283dfca0,01-08-19 23:42,13.727979,100.540119,6103.663658
67051,c812ebb544bbd90c772e6a2c2e06b4c587ca15da2af0f37704fe47269c2668fe,01-08-19 20:20,13.729233,100.537116,6456.837017
67056,6d3ce8fda10b35b74d6d4deaa4f5c2eed7ea14b36708d41fc526d8ebdaf926f0,01-08-19 11:25,13.724229,100.549096,5047.534218
67085,db9c65313270fe0d2456184974454aa491fead8244b4d1891a964f38e09f7f75,01-08-19 12:22,13.725822,100.545229,5501.497573
67094,4b537c52efd61b23b3b67c27c2a53e657fd42b256684423b1e33d1684597d9eb,01-08-19 20:41,13.72613,100.544519,5585.534848
67126,068773d89a69c32ee48d4a460b003b1f1b8805ebdc6f4cd4614c6f5aaab17a6b,01-08-19 9:14,13.727391,100.541508,5939.956084
67147,aa7518578e5a36c8ad175d79bcfa32cc90b096b8b8a3ec2c82349ae3e664a270,01-08-19 7:49,13.729189,100.537221,6444.481264
67152,d292021f9ba2f358823e0a6583ae9ebf21abf186761857e2f98872d9313ea3a2,01-08-19 21:20,13.727556,100.541121,5985.619507
67179,b86ca81915b2872a341bebff2d080f17b3a9da480c1b2fdd1a6ec50b54c2b747,01-08-19 19:37,13.725285,100.546564,5345.402519
